Название поля,Тип,Формат,Описание
**ORDER**, , ,Начало документа
DOCUMENTNAME,М,Число положительное,Название документа (220 —заказ)
NUMBER,М,Строка (50),Номер заказа
DATE,М,Дата (ГГГГ-ММ-ДД),Дата документа
ACTION,О,"«4», «5», «27», «29»","4 — поставка изменена, 5 — замена документа, 29 — поставка принята, 27 — поставка не принята"
VERSION,O,Число положительное,Версия заказа
PROMO,O,"«0», «1»","Акция: 0 — нет, 1 — есть"
DELIVERYDATE,М,Дата (ГГГГ-ММ-ДД),Дата поставки
DELIVERYTIME,O,Время (чч:мм),Время поставки
SHIPMENTDATE,O,Дата (ГГГГ-ММ-ДД),Дата отгрузки
SHIPMENTTIME,O,Время (чч:мм),Время отгрузки
CAMPAIGNNUMBER,O,Строка (70),Номер договора на поставку
CAMPAIGNNUMBERDATE,O,Дата (ГГГГ-ММ-ДД),Дата договора
CURRENCY,O,Строка (3),Код валюты
TRANSPORTQUANTITY,O,Число положительное,Количество машин
ORDERREFERENCENUMBER, ,Строка (16),Уникальный номер заказа для отслеживания
**LIMES**, , ,Детали транспорта (начало блока)
LIMESNAME,O,Строка (70),Название рампы
DATEFROM,O,Дата (ГГГГ-ММ-ДД),Дата прибытия транспорта
TIMEFROM,O,Время (чч:мм),Время прибытия транспорта
DATETO,O,Дата (ГГГГ-ММ-ДД),Дата окончания отгрузки
TIMETO,O,Время (чч:мм),Время окончания отгрузки
**LIMES**, , ,Детали транспорта (окончание блока)
VAT,O,Число положительное,"Ставка НДС, %"
TRANSPORTATIONTYPES,O,Строка (35),Вид транспортировки
TRANSPORTATIONMEANS,O,Строка (70),Транспортное средство
TRANSPORTATIONCONDITION,O,Строка (70),Условия транспортировки
TRANSPORTATIONPAYMENTTYPE,O,Строка (35),Тип оплаты доставки
TRANSPORTATIONROUTE,O,Строка (70),Маршрут доставки
BLANKETORDERNUMBER,O,Строка (35),Номер бланкового заказа
INFOCODED,O,Строка (35),Инфокод
DOCTYPE,O,Строка (1),"Тип документа:
O — оригинал,
R — замена,
D — удаление,
F — фиктивность заказа
PO — предзаказ"
CORRNUMBER, , ,
SUPORDER,O,Строка (35),Номер заказа поставщика
KDKNUM,O,Строка (35),Номер общего заказа КДК
ORDRTYPE,O,Строка (35),Тип заказа
INFO,O,Строка (70),Свободный текст
EARLIESTDELIVERYDATE,O,Дата (ГГГГ-ММ-ДД),Дата не раньше
LATESTDELIVERYDATE,O,Дата (ГГГГ-ММ-ДД),Дата не позднее
**HEAD**, , , Начало основного блока
SUPPLIER,M,Число (13),GLN поставщика
BUYER,M,Число (13),GLN покупателя
BUYERCODE,O,Строка (35),Код покупателя
DELIVERYPLACE,M,Число (13),GLN места доставки
FINALRECIPIENT,O,Число (13),GLN конечного консигнатора
ORDERPARTNER,O,Число (13),GLN заказчика
INVOICEPARTNER,O,Число (13),GLN плательщика
SENDER,M,Число (13),GLN отправителя сообщения
RECIPIENT,M,Число (13),GLN получателя сообщения
CONSIGNEE,О,Число (13),GLN грузополучателя
RECIPIENTCODE,O,Строка (35),Код получателя
RECIPIENTNAME,O,Строка (70),Имя получателя
INFO,O,Строка (70),Свободный текст
