Название поля,Тип,Формат,Описание
**ORDRSP**, , ,Начало документа
NUMBER,M,Строка (16),Номер подтверждения заказа
DATE,M,Дата (ГГГГ-ММ-ДД),Дата документа
TIME,O,Время (чч:мм),Время создания документа
ORDERNUMBER,M,Строка (50),Номер заказа
ORDERDATE,M,Дата (ГГГГ-ММ-ДД),Дата заказа
DELIVERYDATE,O,Дата (ГГГГ-ММ-ДД),Дата доставки
DELIVERYTIME,O,Время (чч:мм),Время поставки
SHIPMENTDATE,O,Дата (ГГГГ-ММ-ДД),Дата отгрузки
CURRENCY,O,Строка (3),Код валюты
**LIMES**, , ,Детали транспорта (начало блока)
LIMESNAME,O,Строка (70),Название рампы
DATEFROM,O,Дата (ГГГГ-ММ-ДД),Дата прибытия транспорта
TIMEFROM,O,Время (чч:мм),Время прибытия транспорта
DATETO,O,Дата (ГГГГ-ММ-ДД),Дата окончания отгрузки
TIMETO,O,Время (чч:мм),Время окончания отгрузки
**LIMES**, , ,Детали транспорта (начало блока)
VAT,O,Число положительное,"Ставка НДС, %"
ACTION,О,"«4», «5», «27», «29»","4 — поставка изменена, 5 — замена документа, 29 — поставка принята, 27 — поставка не принята"
TOTALPACKAGES,O,Число десятичное,Кол-во упаковок
TOTALPACKAGESSPACE,O,Число десятичное,Кол-во мест для упаковок
TRANSPORTQUANTITY,O,Число положительное,Количество машин
DOCTYPE,О,Строка (1),"Тип документа: O — оригинал, R — замена, D — удаление"
SUPORDER,O,Строка (35),Номер заказа поставщика
KDKNUM,O,Строка (35),Номер общего заказа КДК
ORDRTYPE,O,Строка (35),Тип заказа
INFO,O,Строка (70),Свободный текст
REASONINFO,O,Строка (70),Дополнительная информация
CAMPAIGNNUMBER,O,Строка (70),Номер договора
**HEAD**, , ,Начало основного блока
BUYER,M,Число (13),GLN покупателя
BUYERCODE,O,Строка (35),Код покупателя
SUPPLIER,M,Число (13),GLN поставщика
DELIVERYPLACE,M,Число (13),GLN места доставки
FINALRECIPIENT,O,Число (13),GLN конечного консигнатора
INVOICEPARTNER,O,Число (13),GLN плательщика
ENDER,M,Число (13),GLN отправителя сообщения
RECIPIENT,M,Число (13),GLN получателя сообщения
CONSIGNEE,O,Число (13),GLN грузополучателя
RECIPIENTCODE,O,Строка (35),Код получателя
RECIPIENTNAME,O,Строка (70),Имя получателя
RECIPIENTCONTACTFACE,O,Строка (70),Контактное лицо
RECIPIENTPHONE,O,Строка (35),Телефон получателя
RECIPIENTCITY,O,Строка (35),Город получателя
RECIPIENTADRESS,O,Строка (70),Адрес получателя
DELIVERYTERMS, , ,Сроки доставки (в днях)
EDIINTERCHANGEID,O,Строка (70),"Номер транзакции (Уникальный номер, генерируемый отправителем)"
**POSITION**, , ,Товарные позиции (начало блока)
POSITIONNUMBER,M,Число положительное,"Номер товарной позиции (Порядковый номер товарной позиции в документе (1, 2, 3, 4... n))"
PRODUCT,M,"Число (8, 10, 14)",Штрихкод продукта
PRODUCTIDBUYER,O,Строка (16),Артикул в БД покупателя
PRODUCTIDSUPPLIER,O,Строка (16),Артикул в БД поставщика
ORDRSPUNIT,O,Строка (3),Единицы измерения
DESCRIPTION,O,Строка (70),Описание продукта
PRICE,O,Число десятичное,Цена продукта
PRICEWITHVAT,O,Число десятичное,Цена продукта c НДС
DISCOUNT,О,Число положительное,Скидка
VAT,O,Строка (3),"Ставка НДС, %"
AMOUNT,O,Число десятичное,Сумма товара без НДС
AMOUNTWITHVAT,O,Число десятичное,Сумма товара с НДС
TAXAMOUNT,М,Число десятичное,НДС
QUANTITYOFCUINTU,O,Число положительное,Количество в упаковке
PRODUCTTYPE,M,"«1», «2», «3»","1— товар будет поставлен без изменений,"
"2— изменение заказанного количества,",,,
3— отказано в поставке,,,
ORDEREDQUANTITY,M,Число положительное,Заказанное количество
ACCEPTEDQUANTITY,M,Число положительное,Имеющееся количество
MAXIMUMORDERQUANTITY,О,Число положительное,Максимально допустимое отгружаемое количество
INFO,O,Строка (70),Свободный текст
CONDITIONSTATUS,О,Строка (3),Статус кондиции
PACKAGEID,O,Число положительное,Идентификатор упаковки
COUNTRYORIGIN,О,Строка (2),Страна производитель
CALIBRE,О,Число положительное ,Калибр упаковки string(30)
**PACKING**, , ,Упаковка (начало блока)
PACKINGTYPE,O,Строка (3),Тип упаковки
PACKINGQUANTITY,O,Число положительное,Количество упаковок
PACKINGUNIT,O,Число положительное,Упаковщик
**PACKING**, , ,Упаковка (окончание блока)
**POSITION**, , ,Товарные позиции (окончание блока)
**HEAD**, , ,Окончание основного блока
**ORDRSP**, , ,Окончание документа
,,,
 ,,,
