Назва поля,Тип,Формат,Опис
**ЕлектроннийДокумент**,М, ,Початок документу
**Заголовок**,М,Кількість входжень вузла: Min = 1; Max = 1, Заголовок (початок блоку)
НомерДокументу,М,Рядок (20),Номер документу
ТипДокументу,М,Рядок (50),"Типи документів:
Договір, Додаткова угода...(типи коммерційних документів)"
КодТипуДокументу,М,«001» / «002» / «003» ...,"Допустимі значення:
001 => Договір; 002 => Додаткова угода; 003 => Протокол розбіжностей..."
ДатаДокументу,М,Дата (РРРР-ММ-ДД),Дата складання документу
**ПеріодНаданняПослуг**,M, ,"Термін, на період якого надаються послуги (початок блоку)"
Початок,M,Дата (РРРР-ММ-ДД),"Дата початку періоду, на час якого надаються послуги "
Кінець,M,Дата (РРРР-ММ-ДД),"Дата закінчення періоду, на час якого надаються послуги"
**ПеріодНаданняПослуг**, , ,"Термін, на період якого надаються послуги (завершення блоку)"
**ТермінПідпису**,M, ,"Термін, дії підписання документу (початок блоку)"
Початок,M,Дата (РРРР-ММ-ДД),"Дата початку терміну дії підписання"
Кінець,M,Дата (РРРР-ММ-ДД),"Дата закінчення терміну дії підписання"
**ТермінПідпису**, , ,"Термін, дії підписання документу (завершення блоку)"
МісцеСкладання,О,Рядок (100),Місце укладання документу
**ДокПідстава**,M, ,"Документ-підстава (початок блоку)"
НомерДокументу,М,Рядок (20),Номер документу
ТипДокументу,М,Рядок (50),"Типи документів:
Договір, Додаткова угода...(типи коммерційних документів)"
КодТипуДокументу,М,«001» / «002» / «003» ...,"Допустимі значення:
001 => Договір; 002 => Додаткова угода; 003 => Протокол розбіжностей..."
ДатаДокументу,М,Дата (РРРР-ММ-ДД),Дата складання документу
**ДокПідстава**, , ,"Документ-підстава (завершення блоку)"
**Заголовок**, , ,Заголовок (завершення блоку)
**Сторони**,M,Мількість входжень вузла: Min = 1; Max = 1,"Сторони, між якими укладено документ (початок блоку)"
**Контрагент**,М,Кількість входжень вузла: Min = 2; Max = 10,"Контрагент (початок блоку). Першим вказується блок відправника, другим – отримувача"
