Назва поля,Тип,Формат,Опис
**ЕлектроннийДокумент**,М, ,Початок документу
**Заголовок**,М,Кількість входжень вузла: Min = 1; Max = 1, Заголовок (початок блоку)
НомерДокументу,М,Рядок (16),Номер документу
ТипДокументу,М,Рядок (50),"Типи документів:
Договір, Додаткова угода...(типи коммерційних документів)"
КодТипуДокументу,М,«001» / «002» / «003» ...,"Допустимі значення:
001 => Договір; 002 => Додаткова угода; 003 => Протокол розбіжностей..."
ДатаДокументу,М,Дата (РРРР-ММ-ДД),Дата складання документу
**ПеріодНаданняПослуг**, , ,"Термін, на період якого надаються послуги (початок блоку)"
Початок,О,Дата (РРРР-ММ-ДД),"Дата початку періоду, на час якого надаються послуги "
Кінець,О,Дата (РРРР-ММ-ДД),"Дата закінчення періоду, на час якого надаються послуги"
**ПеріодНаданняПослуг**, , ,"Термін, на період якого надаються послуги (завершення блоку)"
МісцеСкладання,О,Рядок (100),Місце укладання документу
**ДокПідстава**,О,Кількість входжень вузла: Min = 0; Max = 10, Документ-підстава (початок блоку)
НомерДокументу,М,Рядок (30),Номер документу-підстави
ТипДокументу,М,Рядок (50),"Типи документів:
Договір, Додаткова угода...(типи коммерційних документів)"
КодТипуДокументу,М,«001» / «002» / «003» ...,"Допустимі значення:
001 => Договір; 002 => Додаткова угода; 003 => Протокол розбіжностей..."
ДатаДокументу,М,Дата (РРРР-ММ-ДД),Дата складання документу
**ДокПідстава**, , ,Документ-підстава (завершення блоку)
**Заголовок**, , ,Заголовок (завершення блоку)
**Сторони**,M,Мількість входжень вузла: Min = 1; Max = 1,"Сторони, між якими укладено документ (початок блоку)"
**Контрагент**,М,Кількість входжень вузла: Min = 2; Max = 10,"Контрагент (початок блоку). Першим вказується блок відправника, другим – отримувача"
СтатусКонтрагента,М,Рядок (30),"Допустимі значення:
Покупець;
Отримувач; 
Продавець; 
Замовник; 
Виконавець;
Перевізник;
Платник;
Підрядник;
Відправник;
Вантажоодержувач;
Вантажовідправник;
Експедитор;
Клієнт;
Консультант"
ВидОсоби,М,Рядок (20),"Допустимі значення:
Юридична;
Фізична "
НазваКонтрагента,М,Рядок (50),Назва контрагента
КодКонтрагента,М,Рядок (8),"Значенням елемента є код платника згідно з ЄДРПОУ (Реєстраційний (обліковий) номер з Тимчасового реєстру ДПА України) або реєстраційний номер облікової картки платника (номер паспорта, записаний як послідовність двох великих літер української абетки та шести цифр)"
ІПН,М,Рядок (12),Індивідуальний податковий номер контрагента
МФО,О,Integer (6),МФО банку контрагента
ПоточРах,О,Рядок ,Поточний рахунок контрагента 
IBAN,О,Рядок ,IBAN (міжнародний номер банківського рахунку; використовується при міжнародних розрахунках)
Телефон,О,Рядок (20),Телефон
GLN,M,Integer (13),Глобальний номер розташування (GLN) контрагента
**Контрагент**, , ,Контрагент (завершення блоку)
**Сторони**, , ,"Сторони, між якими укладено документ (завершення блоку)"
**Параметри**,О, ,"Параметри (початок блоку). Тег передбачає довільне значення; використовується для передачі додаткової інформації, що не входить до специфікації"
Параметр,O,Рядок (50),Максимальна кількість тегів – 99. У кожного наступного тега ідентифікатор (ІД) збільшується на одиницю.
**Параметри**,О, ,Параметри (завершення блоку)
**Таблиця**,О,Кількітьходженьвузла: Min = 0; Max = 1,Таблиця (початок блоку)
**Рядок**,M,Кількість входжень вузла: Min = 1;Max = 9999,Рядок (початок блоку). У кожного наступного блоку ідентифікатор (ІД) збільшується на одиницю
НомПоз,М,Integer (3),Номер позиції
Найменування,М,Рядок (50),Найменування товарної позиції
Дата,О,Дата (РРРР-ММ-ДД),Дата
НомерЗамовлення,О,Рядок (20),Номер замовлення
ПроцентШтрафу,О, ,Відсоток штрафу
**ВсьогоПоРядку**,О,Кількість входжень вузла: Min = 0; Max = 1,Загальна сума по рядку (початок блоку)
СумаБезПДВ,О,Decimal (#.00),Сума без ПДВ
СумаНестач, ,Decimal (#.00),Сума недостачі
СумаШтрафу, ,Decimal (#.00),Сума штрафу
**ВсьогоПоРядку**, , ,Загальна сума по рядку (завершення блоку)
**Рядок**, , ,Рядок (завершення блоку)
**Таблиця**, , ,Таблиця (завершення блоку)
**ВсьогоПоДокументу**,О,Сумарні значення позицій за документом (початок блоку),
СумаБезПДВ,О,Decimal (#.00),Сума без ПДВ
**ВсьогоПоДокументу**,О, ,Сумарні значення позицій за документом (завершення блоку)
**ЕлектроннийДокумент**, , ,Завершення документу
