Название поля,Тип,Формат,Описание
**PARTIN**, , ,Начало документа
NUMBER,M,Строка (16),Номер документа
DATE,M,Дата (ГГГГ-ММ-ДД),Дата
CONTRACTNUMBER,M,Строка (70),Номер договора
CONTRACTDATE,M,Дата (ГГГГ-ММ-ДД),Дата договора
**HEAD**, , ,Начало основного блока
BUYER,M,Число (13),GLN покупателя
SUPPLIER,M,Число (13),GLN поставщика
SENDER,M,Число (13),GLN отправителя
RECIPIENT,M,Число (13),GLN получателя
**COMPANIES**, , ,Компании (начало блока)
PARTYQUALIFIER,M,Строка (35),Физический адрес магазина. Значение только DP
COMPANY,M,Число (13),GLN магазина
NAME,M,Строка (35),Название магазина
STREET,M,Строка (35),Улица
BUILDING,M,Строка (8),Номер здания
SECONDBUILDING,O,Строка (8),Номер второго здания (если компания занимает несколько зданий)
FLATNUMBER,M,Строка (8),Номер офиса
CITY,M,Строка (2),Город
ZIPCODE,M,Строка (35),Индекс
COUNTRYCODE,M,Строка (2),Двухзначный код страны
FISCALNUMBER,M,Строка (35),ИНН
REGISTRATIONNUMBER,M,Строка (35),Код ЕДРПОУ
RCEO,M,Строка (35),ОКПО
OKVD,M,Строка (35),Код ОКВЭД
**CONTACTS**, , ,Контакты магазина (начало блока)
CONTACTCODE,M,Строка (2),"ОС — менеджер, SA — директор"
NAME,M,Строка (35),ФИО
EMAIL,M,Строка (35),Электронная почта
FAX,O,Строка (35),Факс
TELEPHONE,M,Строка (35),Телефон
ADDITIONALNUMBER,O,Строка (35),Дополнительный номер
MOBILENUMBER,O,Строка (35),Мобильный номер
WWW,O,Строка (70),Сайт
**CONTACTS**, , ,Контакты магазина (окончание блока)
**COMPANIES**, , ,Компании (окончание блока)
**HEAD**, , ,Окончание основного блока
**PARTIN**, , ,Окончание документа
