Назва поля,Тип,Формат,Опис
**ЕлектроннийДокумент**,М, ,Початок документу
**Заголовок**,М,Кількість входжень вузла: Min = 1; Max = 1, Заголовок (початок блоку)
ТипДокументу,М,Рядок (50),"Типи документів:
Договір, Додаткова угода...(типи коммерційних документів)"
ДатаДокументу,М,Дата (РРРР-ММ-ДД),Дата складання документу
КодТипуДокументу,М,«001» / «002» / «003» ...,"Допустимі значення:
001 => Договір; 002 => Додаткова угода; 003 => Протокол розбіжностей..."
**ДокПідстава**,О,Кількість входжень вузла: Min = 0; Max = 10, Документ-підстава (початок блоку)
НомерДокументу,М,Рядок (30),Номер документу-підстави
ТипДокументу,М,Рядок (50),"Типи документів:
Договір, Додаткова угода...(типи коммерційних документів)"
КодТипуДокументу,М,«001» / «002» / «003» ...,"Допустимі значення:
001 => Договір; 002 => Додаткова угода; 003 => Протокол розбіжностей..."
ДатаДокументу,М,Дата (РРРР-ММ-ДД),Дата складання документу
**ДокПідстава**, , ,Документ-підстава (завершення блоку)
**Заголовок**, , ,Заголовок (завершення блоку)
**Відхилив**, , ,"До заповнення реквізитами компанії, що відхиляє документ (початок блоку)"
СтатусКонтрагента,М,Рядок (30),"Допустимі значення:
Покупець;
Отримувач; 
Продавець; 
Замовник; 
Виконавець;
Перевізник;
Платник;
Підрядник;
Відправник;
Вантажоодержувач;
Вантажовідправник;
Експедитор;
Клієнт;
Консультант"
ВидОсоби,М,Рядок (20),"Допустимі значення:
Юридична
Фізична"
НазваКонтрагента,М,Рядок (50),Назва контрагента
КодКонтрагента,М,Рядок (8),"Значенням елемента є код платника згідно з ЄДРПОУ (Реєстраційний (обліковий) номер з Тимчасового реєстру ДПА України) або реєстраційний номер облікової картки платника (номер паспорта, записаний як послідовність двох великих літер української абетки та шести цифр)"
ІПН,О,Integer (10),Індивідуальний податковий номер
МФО,О,Рядок,МФО банку 
IBAN,О,Рядок ,IBAN (міжнародний номер банківського рахунку; використовується при міжнародних розрахунках)
Телефон,О,Рядок (20),Телефон контрагента
**Відхилив**, , ,"До заповнення реквізитами компанії, що відхиляє документ (завершення блоку)"
**Сторони**,M,Мількість входжень вузла: Min = 1; Max = 1,"Сторони, між якими укладено документ (початок блоку)"
**Контрагент**,М,Кількість входжень вузла: Min = 2; Max = 10,"Контрагент (початок блоку). Першим вказується блок відправника, другим – отримувача"
СтатусКонтрагента,М,Рядок (30),"Допустимі значення:
Покупець;
Отримувач; 
Продавець; 
Замовник; 
Виконавець;
Перевізник;
Платник;
Підрядник;
Відправник;
Вантажоодержувач;
Вантажовідправник;
Експедитор;
Клієнт;
Консультант"
ВидОсоби,М,Рядок (20),"Допустимі значення:
Юридична
Фізична "
НазваКонтрагента,М,Рядок (50),Назва контрагента
КодКонтрагента,М,Рядок (8),"Значенням елемента є код платника згідно з ЄДРПОУ (Реєстраційний (обліковий) номер з Тимчасового реєстру ДПА України) або реєстраційний номер облікової картки платника (номер паспорта, записаний як послідовність двох великих літер української абетки та шести цифр)"
ІПН,О,Integer (10),Індивідуальний податковий номер
СвідоцтвоПДВ,О,Integer (10),Свідоцтво платника ПДВ (податку на додану вартість)
GLN,M,Integer (13),Глобальний номер розташування (GLN) контрагента
**Контрагент**, , ,Контрагент (завершення блоку)
**Сторони**, , ,"Сторони, між якими укладено документ (завершення блоку)"
Текст,О,Рядок (100),Додаткова інформація 
**ЕлектроннийДокумент**,О, ,Завершення документу
