Назва поля,Тип,Формат,Опис
**ЕлектроннийДокумент**,М, ,Початок документу
**Заголовок**,М,Кількість входжень вузла: Min = 1; Max = 1, Заголовок (початок блоку)
НомерДокументу,М,Рядок (16),Номер документу
ТипДокументу,М,Рядок (50),"Типи документів:
Договір, Додаткова угода...(типи коммерційних документів)"
КодТипуДокументу,М,«001» / «002» / «003» ...,"Допустимі значення:
001 => Договір; 002 => Додаткова угода; 003 => Протокол розбіжностей..."
ДатаДокументу,М,Дата (РРРР-ММ-ДД),Дата складання документу
МісцеСкладання, , ,Місце складання документу
**ДокПідстава**,О,Кількість входжень вузла: Min = 0; Max = 10, Документ-підстава (початок блоку)
НомерДокументу,М,Рядок (30),Номер документу-підстави
ТипДокументу,М,Рядок (50),"Типи документів:
Договір, Додаткова угода...(типи коммерційних документів)"
КодТипуДокументу,М,«001» / «002» / «003» ...,"Допустимі значення:
001 => Договір; 002 => Додаткова угода; 003 => Протокол розбіжностей..."
ДатаДокументу,М,Дата (РРРР-ММ-ДД),Дата складання документу
**ДокПідстава**, , ,Документ-підстава (завершення блоку)
**Заголовок**, , ,Заголовок (завершення блоку)
**Сторони**,M,Мількість входжень вузла: Min = 1; Max = 1,"Сторони, між якими укладено документ (початок блоку)"
**Контрагент**,М,Кількість входжень вузла: Min = 2; Max = 10,"Контрагент (початок блоку). Першим вказується блок відправника, другим – отримувача"
СтатусКонтрагента,М,Рядок (30),"Допустимі значення:
Покупець;
Отримувач; 
Продавець; 
Замовник; 
Виконавець;
Перевізник;
Платник;
Підрядник;
Відправник;
Вантажоодержувач;
Вантажовідправник;
Експедитор;
Клієнт;
Консультант"
ВидОсоби,М,Рядок (20),"Допустимі значення:
Юридична
Фізична "
НазваКонтрагента,М,Рядок (50),Назва контрагента
КодКонтрагента,М,Рядок (8),"Значенням елемента є код платника згідно з ЄДРПОУ (Реєстраційний (обліковий) номер з Тимчасового реєстру ДПА України) або реєстраційний номер облікової картки платника (номер паспорта, записаний як послідовність двох великих літер української абетки та шести цифр)"
ІПН,М,Рядок (12),Індивідуальний податковий номер контрагента
МФО,О,Integer (6),МФО банку контрагента
ПоточРах,О,Рядок ,Поточний рахунок контрагента 
IBAN,О,Рядок ,IBAN (міжнародний номер банківського рахунку; використовується при міжнародних розрахунках)
Телефон,О,Рядок (20),Телефон
GLN,M,Integer (13),Глобальний номер розташування (GLN) контрагента
**Контрагент**, , ,Контрагент (завершення блоку)
**ЕлектроннийДокумент**,О, ,Завершення документу
