Название поля,Тип,Формат,Описание
**ЕлектроннийДокумент**,М, ,Начало документа
**Заголовок**,М,Количество вхождений узла: Min = 1; Max = 1, Заглавие (начало блока)
НомерДокументу,М,Строка (16),Номер документа
ТипДокументу,М,Строка (50),"Типы документов:
Договір
Додаткова угода  
Протокол розбіжностей  
Акт приймання продукції (товару) за кількістю та якістю
Акт про виявлені недоліки
Видаткова накладна
Прибуткова накладна
Товарна специфікація
Акт невідповідності
Накладна
Повідомлення про повернення
Накладна на повернення
Акт виконаних робіт
Акт звірки взаєморозрахунків
Акт взаємозаліку
Рахунок-фактура
Акт про виявлення невідповідностей
Акт наданих послуг
Звіт комітенту
Накладна на переміщення
Повідомлення про відмову від підписання документу
Анулювання
Специфікація послуг по перевезеннях
Звіт комітенту по еквайрингу
Рахунок по еквайрингу
Зведена специфікація послуг
Товарна накладна
Заявка на транспортно-експедиційне обслуговування
Акт звірки взаєморозрахунків зведений
Претензія
Накладна на зворотну тару"
КодТипуДокументу,М,«001» / «002» ...,"Допустимые значения:
001 = Договір; 002 = Додаткова угода; 003 = Протокол розбіжностей; 004 = Акт приймання продукції (товару) за кількістю та якістю; 005 = Акт про виявлені недоліки; 006 = Видаткова накладна; 007 = Прибуткова накладна; 008 = Товарна специфікація; 009 = Акт невідповідності; 010 = Накладна; 011 = Повідомлення про повернення; 012 = Накладна на повернення; 013 = Акт виконаних робіт; 014 = Акт звірки взаєморозрахунків; 015 = Акт взаємозаліку; 016 = Рахунок-фактура; 017 = Акт про виявлення невідповідностей; 018 = Акт наданих послуг; 019 = Анулювання; 020 = Звіт комітенту; 021 = Повідомлення про відмову від підписання документу; 022 = Накладна на переміщення; 023 = Специфікація послуг по перевезеннях; 024 = Звіт комітенту по еквайрингу; 025 = Рахунок по еквайрингу; 026 = Зведена специфікація послуг; 027 = Товарна накладна; 028 = Заявка на транспортно-експедиційне обслуговування; 029 = Акт звірки взаєморозрахунків зведений"
ДатаДокументу,М,Дата (РРРР-ММ-ДД),Дата составления документа
ПричинаАнулювання,М,Строка (),Причина аннулирования
ДатаАнулювання,М,Дата (РРРР-ММ-ДД),Дата аннулирования
МісцеСкладання, , ,Место составления документа
**Заголовок**, , ,Заглавие (окончание блока)
**ДокументЩоАнулюється**, , ,"Документ, который аннулируется (начало блока)"
НомерДокументу,М,Строка (16),Номер документа
ТипДокументу,М,Строка (50),"Типы документов:
Договір
Додаткова угода  
Протокол розбіжностей  
Акт приймання продукції (товару) за кількістю та якістю
Акт про виявлені недоліки
Видаткова накладна
Прибуткова накладна
Товарна специфікація
Акт невідповідності
Накладна
Повідомлення про повернення
Накладна на повернення
Акт виконаних робіт
Акт звірки взаєморозрахунків
Акт взаємозаліку
Рахунок-фактура
Акт про виявлення невідповідностей
Акт наданих послуг
Звіт комітенту
Накладна на переміщення
Повідомлення про відмову від підписання документу
Анулювання
Специфікація послуг по перевезеннях
Звіт комітенту по еквайрингу
Рахунок по еквайрингу
Зведена специфікація послуг
Товарна накладна
Заявка на транспортно-експедиційне обслуговування
Акт звірки взаєморозрахунків зведений"
КодТипуДокументу,М,«001» / «002» ...,"Допустимые значения:
001 = Договір; 002 = Додаткова угода; 003 = Протокол розбіжностей; 004 = Акт приймання продукції (товару) за кількістю та якістю; 005 = Акт про виявлені недоліки; 006 = Видаткова накладна; 007 = Прибуткова накладна; 008 = Товарна специфікація; 009 = Акт невідповідності; 010 = Накладна; 011 = Повідомлення про повернення; 012 = Накладна на повернення; 013 = Акт виконаних робіт; 014 = Акт звірки взаєморозрахунків; 015 = Акт взаємозаліку; 016 = Рахунок-фактура; 017 = Акт про виявлення невідповідностей; 018 = Акт наданих послуг; 019 = Анулювання; 020 = Звіт комітенту; 021 = Повідомлення про відмову від підписання документу; 022 = Накладна на переміщення; 023 = Специфікація послуг по перевезеннях; 024 = Звіт комітенту по еквайрингу; 025 = Рахунок по еквайрингу; 026 = Зведена специфікація послуг; 027 = Товарна накладна; 028 = Заявка на транспортно-експедиційне обслуговування; 029 = Акт звірки взаєморозрахунків зведений"
ДатаДокументу,М,Дата (РРРР-ММ-ДД),Дата составления документа
**ДокументЩоАнулюється**, , ,"Документ, который аннулируется (окончание блока)"
**Сторони**,M,Мількість входжень вузла: Min = 1; Max = 1,"Стороны, между которыми заключен договор (начало блока)"
**Контрагент**,М,Кількість входжень вузла: Min = 2; Max = 10,"Контрагент (начало блока). Первым указывается блок отправителя, другим – получателя"
СтатусКонтрагента,М,Строка (30),"Допустимые значения:
Покупець
Постачальник
Отримувач 
Продавець 
Замовник 
Виконавець
Перевізник
Платник
Підрядник
Відправник
Вантажоодержувач
Вантажовідправник
Експедитор
Клієнт
Консультант"
ВидОсоби,М,Строка (20),"Допустимые значения:
Юридична
Фізична "
НазваКонтрагента,М,Строка (50),Название контрагента
КодКонтрагента,М,Строка (8),"Значением элемента является код плательщика согласно ЕГРПОУ (Регистрационный (учетный) номер из Временного реестра ГНА Украины) или регистрационный номер учетной карточки плательщика (номер паспорта, записанный как последовательность двух больших букв украинского алфавита и шести цифр)"
ІПН,М,Строка (12),Индивидуальный налоговый номер контрагента
СвідоцтвоПДВ,О,Integer (10),Свидетельство НДС контрагента
GLN,M,Integer (13),Глобальний номер розташування (GLN) контрагента
**Контрагент**, , ,Контрагент (окончание блока)
**Сторони**, , ,"Стороны, между которыми заключен договор (окончание блока)"
**ЕлектроннийДокумент**,О, ,Окончание документа
